model_id,protocol_id,feature,kind,f_h,f_h2,f_h4,state_h,state_h2,abs_floor,rel_term,refine_term,tau,limiting,note
pospischil2008_rs,P00_canonical,baseline_voltage,numeric,-70.57644285583496,-70.57644283040365,-70.57644282277425,defined,defined,0.5,0.0,7.6293915185488e-08,0.5,abs_floor,
pospischil2008_rs,P00_canonical,firing_regime,categorical,adapting,adapting,adapting,defined,defined,0.0,0.0,0.0,0.0,exact,
pospischil2008_rs,P00_canonical,first_isi,numeric,28.06999999997447,28.029999999974507,27.999999999974534,defined,defined,0.5,0.5613999999994894,0.11999999999989086,0.5613999999994894,relative,
pospischil2008_rs,P00_canonical,first_spike_latency,numeric,20.749999999853287,20.739999999853296,20.739999999853296,defined,defined,0.5,0.41499999999706577,0.029999999999972715,0.5,abs_floor,
pospischil2008_rs,P00_canonical,last_isi,numeric,135.97999999987638,135.78999999987656,135.69999999987664,defined,defined,0.5,2.7195999999975276,0.5699999999994816,2.7195999999975276,relative,
pospischil2008_rs,P00_canonical,mean_frequency,numeric,17.03113291098414,17.059606264310375,17.073587160685435,defined,defined,0.5,0.8515566455492071,0.08542005997870206,0.8515566455492071,relative,
pospischil2008_rs,P00_canonical,spike_count,count,5.0,5.0,5.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P01_baseline,baseline_voltage,numeric,-70.57644295501709,-70.5764428838094,-70.57644285837809,defined,defined,0.5,0.0,2.1362303925798187e-07,0.5,abs_floor,
pospischil2008_rs,P01_baseline,firing_regime,categorical,silent,silent,silent,defined,defined,0.0,0.0,0.0,0.0,exact,
pospischil2008_rs,P01_baseline,spike_count,count,0.0,0.0,0.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P01_baseline,steady_state_voltage,numeric,-70.57128326633999,-70.5712832685198,-70.57128326960972,defined,defined,0.5,0.0,6.539451646858652e-09,0.5,abs_floor,
pospischil2008_rs,P02_weak_step,baseline_voltage,numeric,-70.57644295501709,-70.5764428838094,-70.57644245656336,defined,defined,0.5,0.0,2.1362303925798187e-07,0.5,abs_floor,
pospischil2008_rs,P02_weak_step,spike_count,count,0.0,0.0,0.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P02_weak_step,steady_state_voltage,numeric,-61.915689658355596,-61.91568922958361,-61.9156893104553,defined,defined,0.5,0.0,1.2863159497555898e-06,0.5,abs_floor,
pospischil2008_rs,P02_weak_step,voltage_deflection,numeric,8.66075329666149,8.660753654225793,8.660753146108057,defined,defined,0.5,0.4330376648330745,1.072692910497608e-06,0.5,abs_floor,
pospischil2008_rs,P03_rheobase,rheobase,numeric,0.5606515948364182,0.5606515948364182,0.5606515948364182,defined,defined,0.00020490403660944345,0.011213031896728365,0.0,0.011213031896728365,relative,
pospischil2008_rs,P04_step_2x,adaptation_index,numeric,0.018020491828063687,0.018206269147133136,0.01830016111987434,defined,defined,0.01,0.0018020491828063688,0.0005573319572083485,0.01,abs_floor,
pospischil2008_rs,P04_step_2x,ahp_depth,numeric,3.2025415878387236,3.6095391972804407,3.811037501010617,defined,defined,0.5,0.16012707939193618,1.2209928283251514,1.2209928283251514,refinement,
pospischil2008_rs,P04_step_2x,ap_amplitude,numeric,89.49588775782593,89.44855880885186,89.41038513298949,defined,defined,1.0,1.7899177551565186,0.1419868469222081,1.7899177551565186,relative,
pospischil2008_rs,P04_step_2x,ap_half_width,numeric,0.6999999999993634,0.6999999999993634,0.7099999999993543,defined,defined,0.05,0.03499999999996817,0.0,0.05,abs_floor,
pospischil2008_rs,P04_step_2x,burst_count,count,1.0,1.0,1.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P04_step_2x,firing_regime,categorical,tonic,tonic,tonic,defined,defined,0.0,0.0,0.0,0.0,exact,
pospischil2008_rs,P04_step_2x,first_isi,numeric,13.069999999988113,12.92999999998824,12.869999999988295,defined,defined,0.5,0.26139999999976227,0.419999999999618,0.5,abs_floor,
pospischil2008_rs,P04_step_2x,first_spike_latency,numeric,10.689999999862437,10.659999999862464,10.639999999862482,defined,defined,0.5,0.21379999999724875,0.08999999999991815,0.5,abs_floor,
pospischil2008_rs,P04_step_2x,last_isi,numeric,28.16999999997438,28.06999999997447,28.009999999974525,defined,defined,0.5,0.5633999999994876,0.29999999999972715,0.5633999999994876,relative,
pospischil2008_rs,P04_step_2x,mean_frequency,numeric,44.11292909854356,44.38974193423394,44.5308072221393,defined,defined,0.5,2.205646454927178,0.8304385070711362,2.205646454927178,relative,
pospischil2008_rs,P04_step_2x,spike_count,count,22.0,22.0,22.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P05_long_step,adaptation_index,numeric,0.02130270892949869,0.021450084876352596,0.021523147383456034,defined,defined,0.01,0.002130270892949869,0.00044212784056171794,0.01,abs_floor,
pospischil2008_rs,P05_long_step,ahp_depth,numeric,2.4773294906594145,2.8773233159343334,3.0753201293999552,defined,defined,0.5,0.12386647453297073,1.1999814758247567,1.1999814758247567,refinement,
pospischil2008_rs,P05_long_step,ap_amplitude,numeric,89.18265915023935,89.08078384555085,89.01884842064456,defined,defined,1.0,1.783653183004787,0.3056259140654731,1.783653183004787,relative,
pospischil2008_rs,P05_long_step,ap_half_width,numeric,0.6999999999993634,0.6999999999993634,0.6999999999993634,defined,defined,0.05,0.03499999999996817,0.0,0.05,abs_floor,
pospischil2008_rs,P05_long_step,burst_count,count,1.0,1.0,1.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P05_long_step,firing_regime,categorical,tonic,tonic,tonic,defined,defined,0.0,0.0,0.0,0.0,exact,
pospischil2008_rs,P05_long_step,first_isi,numeric,21.2199999999807,21.019999999980882,20.919999999980973,defined,defined,0.5,0.42439999999961403,0.5999999999994543,0.5999999999994543,refinement,
pospischil2008_rs,P05_long_step,first_spike_latency,numeric,16.619999999857043,16.58999999985707,16.56999999985709,defined,defined,0.5,0.33239999999714087,0.08999999999991815,0.5,abs_floor,
pospischil2008_rs,P05_long_step,last_isi,numeric,78.13000000170541,77.97000000170192,77.90000000170039,defined,defined,0.5,1.5626000000341083,0.4800000000104774,1.5626000000341083,relative,
pospischil2008_rs,P05_long_step,mean_frequency,numeric,14.694109182274286,14.734349834088421,14.754440323353883,defined,defined,0.5,0.7347054591137143,0.12072195544240749,0.7347054591137143,relative,
pospischil2008_rs,P05_long_step,spike_count,count,29.0,29.0,29.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P06_ramp,firing_regime,categorical,tonic,tonic,tonic,defined,defined,0.0,0.0,0.0,0.0,exact,
pospischil2008_rs,P06_ramp,first_spike_latency,numeric,381.69999999952506,381.6399999995251,381.61999999952513,defined,defined,0.5,7.633999999990501,0.1799999999998363,7.633999999990501,relative,
pospischil2008_rs,P06_ramp,mean_frequency,numeric,30.288956646438177,30.358227079570092,31.027304027576427,defined,defined,0.5,1.5144478323219088,0.20781129939574683,1.5144478323219088,relative,
