variant_id,model_id,kind,operator,family,tolerance_multiplier,class
m-shift_reversal-9acb9774d9,migliore2014_mt_soma,mutant,shift_reversal,biophysical,1.0,5_non_equivalent
m-shift_reversal-9acb9774d9,migliore2014_mt_soma,mutant,shift_reversal,biophysical,2.0,5_non_equivalent
m-shift_reversal-9acb9774d9,migliore2014_mt_soma,mutant,shift_reversal,biophysical,4.0,5_non_equivalent
m-scale_capacitance-669e5e35b9,migliore2014_mt_soma,mutant,scale_capacitance,biophysical,0.5,5_non_equivalent
m-scale_capacitance-669e5e35b9,migliore2014_mt_soma,mutant,scale_capacitance,biophysical,1.0,5_non_equivalent
m-scale_capacitance-669e5e35b9,migliore2014_mt_soma,mutant,scale_capacitance,biophysical,2.0,5_non_equivalent
m-scale_capacitance-669e5e35b9,migliore2014_mt_soma,mutant,scale_capacitance,biophysical,4.0,5_non_equivalent
m-scale_capacitance-f459583f48,migliore2014_mt_soma,mutant,scale_capacitance,biophysical,0.5,5_non_equivalent
m-scale_capacitance-f459583f48,migliore2014_mt_soma,mutant,scale_capacitance,biophysical,1.0,5_non_equivalent
m-scale_capacitance-f459583f48,migliore2014_mt_soma,mutant,scale_capacitance,biophysical,2.0,5_non_equivalent
m-scale_capacitance-f459583f48,migliore2014_mt_soma,mutant,scale_capacitance,biophysical,4.0,5_non_equivalent
m-shift_gate_midpoint-f6ccf19d87,migliore2014_mt_soma,mutant,shift_gate_midpoint,kinetics,0.5,5_non_equivalent
m-shift_gate_midpoint-f6ccf19d87,migliore2014_mt_soma,mutant,shift_gate_midpoint,kinetics,1.0,5_non_equivalent
m-shift_gate_midpoint-f6ccf19d87,migliore2014_mt_soma,mutant,shift_gate_midpoint,kinetics,2.0,5_non_equivalent
m-shift_gate_midpoint-f6ccf19d87,migliore2014_mt_soma,mutant,shift_gate_midpoint,kinetics,4.0,6_silent_under_canonical
m-shift_gate_midpoint-c36e1e57f0,migliore2014_mt_soma,mutant,shift_gate_midpoint,kinetics,0.5,6_silent_under_canonical
m-shift_gate_midpoint-c36e1e57f0,migliore2014_mt_soma,mutant,shift_gate_midpoint,kinetics,1.0,6_silent_under_canonical
m-shift_gate_midpoint-c36e1e57f0,migliore2014_mt_soma,mutant,shift_gate_midpoint,kinetics,2.0,6_silent_under_canonical
m-shift_gate_midpoint-c36e1e57f0,migliore2014_mt_soma,mutant,shift_gate_midpoint,kinetics,4.0,4_equivalent_within_tested_domain
m-scale_gate_slope-15951a0f18,migliore2014_mt_soma,mutant,scale_gate_slope,kinetics,0.5,5_non_equivalent
m-scale_gate_slope-15951a0f18,migliore2014_mt_soma,mutant,scale_gate_slope,kinetics,1.0,5_non_equivalent
m-scale_gate_slope-15951a0f18,migliore2014_mt_soma,mutant,scale_gate_slope,kinetics,2.0,5_non_equivalent
m-scale_gate_slope-15951a0f18,migliore2014_mt_soma,mutant,scale_gate_slope,kinetics,4.0,5_non_equivalent
m-increase_dt-86f7c3d69e,migliore2014_mt_soma,mutant,increase_dt,numerical,0.5,4_equivalent_within_tested_domain
m-increase_dt-86f7c3d69e,migliore2014_mt_soma,mutant,increase_dt,numerical,1.0,4_equivalent_within_tested_domain
m-increase_dt-86f7c3d69e,migliore2014_mt_soma,mutant,increase_dt,numerical,2.0,4_equivalent_within_tested_domain
m-increase_dt-86f7c3d69e,migliore2014_mt_soma,mutant,increase_dt,numerical,4.0,4_equivalent_within_tested_domain
m-solver_config-7333128140,migliore2014_mt_soma,mutant,solver_config,numerical,0.5,4_equivalent_within_tested_domain
m-solver_config-7333128140,migliore2014_mt_soma,mutant,solver_config,numerical,1.0,4_equivalent_within_tested_domain
m-solver_config-7333128140,migliore2014_mt_soma,mutant,solver_config,numerical,2.0,4_equivalent_within_tested_domain
m-solver_config-7333128140,migliore2014_mt_soma,mutant,solver_config,numerical,4.0,4_equivalent_within_tested_domain
m-recording_resolution-1709456cdd,migliore2014_mt_soma,mutant,recording_resolution,numerical,0.5,4_equivalent_within_tested_domain
m-recording_resolution-1709456cdd,migliore2014_mt_soma,mutant,recording_resolution,numerical,1.0,4_equivalent_within_tested_domain
m-recording_resolution-1709456cdd,migliore2014_mt_soma,mutant,recording_resolution,numerical,2.0,4_equivalent_within_tested_domain
m-recording_resolution-1709456cdd,migliore2014_mt_soma,mutant,recording_resolution,numerical,4.0,4_equivalent_within_tested_domain
m-wrong_channel-aa3604e9d4,migliore2014_mt_soma,mutant,wrong_channel,reference,0.5,3_numerically_unstable
m-wrong_channel-aa3604e9d4,migliore2014_mt_soma,mutant,wrong_channel,reference,1.0,3_numerically_unstable
m-wrong_channel-aa3604e9d4,migliore2014_mt_soma,mutant,wrong_channel,reference,2.0,3_numerically_unstable
m-wrong_channel-aa3604e9d4,migliore2014_mt_soma,mutant,wrong_channel,reference,4.0,3_numerically_unstable
m-omit_include-a855d45581,migliore2014_mt_soma,mutant,omit_include,reference,0.5,1_structurally_invalid
m-omit_include-a855d45581,migliore2014_mt_soma,mutant,omit_include,reference,1.0,1_structurally_invalid
m-omit_include-a855d45581,migliore2014_mt_soma,mutant,omit_include,reference,2.0,1_structurally_invalid
m-omit_include-a855d45581,migliore2014_mt_soma,mutant,omit_include,reference,4.0,1_structurally_invalid
m-duplicate_conductance-36dae66739,migliore2014_mt_soma,mutant,duplicate_conductance,reference,0.5,5_non_equivalent
m-duplicate_conductance-36dae66739,migliore2014_mt_soma,mutant,duplicate_conductance,reference,1.0,5_non_equivalent
m-duplicate_conductance-36dae66739,migliore2014_mt_soma,mutant,duplicate_conductance,reference,2.0,5_non_equivalent
m-duplicate_conductance-36dae66739,migliore2014_mt_soma,mutant,duplicate_conductance,reference,4.0,6_silent_under_canonical
m-wrong_compatible_component-d99b9d3dab,migliore2014_mt_soma,mutant,wrong_compatible_component,reference,0.5,5_non_equivalent
m-wrong_compatible_component-d99b9d3dab,migliore2014_mt_soma,mutant,wrong_compatible_component,reference,1.0,5_non_equivalent
m-wrong_compatible_component-d99b9d3dab,migliore2014_mt_soma,mutant,wrong_compatible_component,reference,2.0,5_non_equivalent
m-wrong_compatible_component-d99b9d3dab,migliore2014_mt_soma,mutant,wrong_compatible_component,reference,4.0,5_non_equivalent
migliore2014_mt_soma__unit_conversion__000,migliore2014_mt_soma,valid_transform,unit_conversion,unit_conversion,0.5,4_equivalent_within_tested_domain
migliore2014_mt_soma__unit_conversion__000,migliore2014_mt_soma,valid_transform,unit_conversion,unit_conversion,1.0,4_equivalent_within_tested_domain
migliore2014_mt_soma__unit_conversion__000,migliore2014_mt_soma,valid_transform,unit_conversion,unit_conversion,2.0,4_equivalent_within_tested_domain
migliore2014_mt_soma__unit_conversion__000,migliore2014_mt_soma,valid_transform,unit_conversion,unit_conversion,4.0,4_equivalent_within_tested_domain
migliore2014_mt_soma__xml_formatting__000,migliore2014_mt_soma,no_change_control,xml_formatting,formatting,0.5,4_equivalent_within_tested_domain
migliore2014_mt_soma__xml_formatting__000,migliore2014_mt_soma,no_change_control,xml_formatting,formatting,1.0,4_equivalent_within_tested_domain
migliore2014_mt_soma__xml_formatting__000,migliore2014_mt_soma,no_change_control,xml_formatting,formatting,2.0,4_equivalent_within_tested_domain
migliore2014_mt_soma__xml_formatting__000,migliore2014_mt_soma,no_change_control,xml_formatting,formatting,4.0,4_equivalent_within_tested_domain
migliore2014_mt_soma__add_comments__000,migliore2014_mt_soma,no_change_control,add_comments,formatting,0.5,4_equivalent_within_tested_domain
migliore2014_mt_soma__add_comments__000,migliore2014_mt_soma,no_change_control,add_comments,formatting,1.0,4_equivalent_within_tested_domain
migliore2014_mt_soma__add_comments__000,migliore2014_mt_soma,no_change_control,add_comments,formatting,2.0,4_equivalent_within_tested_domain
migliore2014_mt_soma__add_comments__000,migliore2014_mt_soma,no_change_control,add_comments,formatting,4.0,4_equivalent_within_tested_domain
