variant_id,model_id,kind,operator,family,tolerance_multiplier,class
pospischil2008_rs__explicit_default__000,pospischil2008_rs,valid_transform,explicit_default,explicit_default,4.0,4_equivalent_within_tested_domain
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,mutant,scale_conductance,biophysical,2.0,5_non_equivalent
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,mutant,scale_conductance,biophysical,4.0,5_non_equivalent
m-scale_conductance-1000aafe3e,pospischil2008_lts,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-1000aafe3e,pospischil2008_lts,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-1000aafe3e,pospischil2008_lts,mutant,scale_conductance,biophysical,2.0,5_non_equivalent
m-scale_conductance-1000aafe3e,pospischil2008_lts,mutant,scale_conductance,biophysical,4.0,5_non_equivalent
m-shift_reversal-27f94c8222,pospischil2008_lts,mutant,shift_reversal,biophysical,0.5,5_non_equivalent
m-shift_reversal-27f94c8222,pospischil2008_lts,mutant,shift_reversal,biophysical,1.0,5_non_equivalent
m-shift_reversal-27f94c8222,pospischil2008_lts,mutant,shift_reversal,biophysical,2.0,5_non_equivalent
m-shift_reversal-27f94c8222,pospischil2008_lts,mutant,shift_reversal,biophysical,4.0,5_non_equivalent
m-shift_reversal-5c87169260,pospischil2008_lts,mutant,shift_reversal,biophysical,0.5,5_non_equivalent
m-shift_reversal-5c87169260,pospischil2008_lts,mutant,shift_reversal,biophysical,1.0,5_non_equivalent
m-shift_reversal-5c87169260,pospischil2008_lts,mutant,shift_reversal,biophysical,2.0,5_non_equivalent
m-shift_reversal-5c87169260,pospischil2008_lts,mutant,shift_reversal,biophysical,4.0,5_non_equivalent
m-scale_capacitance-ee6df9013d,pospischil2008_lts,mutant,scale_capacitance,biophysical,0.5,5_non_equivalent
m-scale_capacitance-ee6df9013d,pospischil2008_lts,mutant,scale_capacitance,biophysical,1.0,5_non_equivalent
m-scale_capacitance-ee6df9013d,pospischil2008_lts,mutant,scale_capacitance,biophysical,2.0,5_non_equivalent
m-scale_capacitance-ee6df9013d,pospischil2008_lts,mutant,scale_capacitance,biophysical,4.0,5_non_equivalent
m-scale_capacitance-64ced10e8f,pospischil2008_lts,mutant,scale_capacitance,biophysical,0.5,5_non_equivalent
m-scale_capacitance-64ced10e8f,pospischil2008_lts,mutant,scale_capacitance,biophysical,1.0,5_non_equivalent
m-scale_capacitance-64ced10e8f,pospischil2008_lts,mutant,scale_capacitance,biophysical,2.0,5_non_equivalent
m-scale_capacitance-64ced10e8f,pospischil2008_lts,mutant,scale_capacitance,biophysical,4.0,5_non_equivalent
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,mutant,scale_gate_time_constant,biophysical,0.5,5_non_equivalent
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,mutant,scale_gate_time_constant,biophysical,1.0,5_non_equivalent
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,mutant,scale_gate_time_constant,biophysical,2.0,5_non_equivalent
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,mutant,scale_gate_time_constant,biophysical,4.0,4_equivalent_within_tested_domain
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,mutant,scale_gate_time_constant,biophysical,0.5,5_non_equivalent
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,mutant,scale_gate_time_constant,biophysical,1.0,5_non_equivalent
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,mutant,scale_gate_time_constant,biophysical,2.0,5_non_equivalent
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,mutant,scale_gate_time_constant,biophysical,4.0,5_non_equivalent
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,mutant,shift_initial_voltage,biophysical,0.5,5_non_equivalent
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,mutant,shift_initial_voltage,biophysical,1.0,5_non_equivalent
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,mutant,shift_initial_voltage,biophysical,2.0,6_silent_under_canonical
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,mutant,shift_initial_voltage,biophysical,4.0,4_equivalent_within_tested_domain
m-shift_initial_voltage-6b902307a8,pospischil2008_lts,mutant,shift_initial_voltage,biophysical,0.5,not_evaluable
m-shift_initial_voltage-6b902307a8,pospischil2008_lts,mutant,shift_initial_voltage,biophysical,1.0,4_equivalent_within_tested_domain
m-shift_initial_voltage-6b902307a8,pospischil2008_lts,mutant,shift_initial_voltage,biophysical,2.0,4_equivalent_within_tested_domain
m-shift_initial_voltage-6b902307a8,pospischil2008_lts,mutant,shift_initial_voltage,biophysical,4.0,4_equivalent_within_tested_domain
m-wrong_segment_group-feb11f7645,pospischil2008_lts,mutant,wrong_segment_group,biophysical,0.5,4_equivalent_within_tested_domain
m-wrong_segment_group-feb11f7645,pospischil2008_lts,mutant,wrong_segment_group,biophysical,1.0,4_equivalent_within_tested_domain
m-wrong_segment_group-feb11f7645,pospischil2008_lts,mutant,wrong_segment_group,biophysical,2.0,4_equivalent_within_tested_domain
