mutant_id,model_id,family,protocol_id,detected
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P05_long_step,False
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P06_ramp,False
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P07_hyperpolarizing_step,False
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P08_rebound,False
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P09_short_pulse,False
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P10_paired_pulses,False
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P03_rheobase,False
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P00_canonical,True
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P01_baseline,False
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P02_weak_step,True
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P04_step_2x,True
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P05_long_step,True
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P06_ramp,False
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P07_hyperpolarizing_step,False
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P08_rebound,False
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P09_short_pulse,False
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P10_paired_pulses,False
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,P03_rheobase,True
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P00_canonical,True
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P01_baseline,False
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P02_weak_step,False
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P04_step_2x,True
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P05_long_step,True
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P06_ramp,False
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P07_hyperpolarizing_step,False
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P08_rebound,False
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P09_short_pulse,False
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P10_paired_pulses,False
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,P03_rheobase,False
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P00_canonical,True
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P01_baseline,False
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P02_weak_step,False
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P04_step_2x,True
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P05_long_step,True
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P06_ramp,False
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P07_hyperpolarizing_step,False
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P08_rebound,False
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P09_short_pulse,False
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P10_paired_pulses,False
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,P03_rheobase,False
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P00_canonical,True
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P01_baseline,False
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P02_weak_step,False
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P04_step_2x,True
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P05_long_step,True
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P06_ramp,False
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P07_hyperpolarizing_step,False
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P08_rebound,False
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P09_short_pulse,False
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P10_paired_pulses,False
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,P03_rheobase,True
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P00_canonical,True
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P01_baseline,False
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P02_weak_step,True
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P04_step_2x,True
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P05_long_step,True
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P06_ramp,False
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P07_hyperpolarizing_step,True
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P08_rebound,True
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P09_short_pulse,False
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P10_paired_pulses,False
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,P03_rheobase,True
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P00_canonical,True
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P01_baseline,False
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P02_weak_step,False
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P04_step_2x,False
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P05_long_step,False
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P06_ramp,False
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P07_hyperpolarizing_step,False
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P08_rebound,False
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P09_short_pulse,False
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P10_paired_pulses,False
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,P03_rheobase,False
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P00_canonical,True
